,time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,prev_close,open,high,low,volume,amount,open_interest
19646,2023-09-14 14:03:38,IF2309,IF2309,3721.0,2.0,2232480.0,-2.0,3,3720.6,3721.0,3,3739.6,3740.0,3750.0,3717.4,48494.0,54339429180.0,53840
19647,2023-09-14 14:03:38,IF2309,IF2309,3720.6,1.0,1116180.0,-1.0,2,3720.6,3721.0,3,3739.6,3740.0,3750.0,3717.4,48495.0,54340545360.0,53839
19648,2023-09-14 14:03:39,IF2309,IF2309,3721.0,1.0,1116300.0,-1.0,2,3720.6,3721.0,2,3739.6,3740.0,3750.0,3717.4,48496.0,54341661660.0,53838
19649,2023-09-14 14:03:39,IF2309,IF2309,3721.0,1.0,1116300.0,0.0,2,3720.6,3721.0,1,3739.6,3740.0,3750.0,3717.4,48497.0,54342777960.0,53838
19650,2023-09-14 14:03:41,IF2309,IF2309,3720.6,3.0,3348540.0,-3.0,2,3720.4,3720.6,1,3739.6,3740.0,3750.0,3717.4,48500.0,54346126500.0,53835
19651,2023-09-14 14:03:41,IF2309,IF2309,3720.6,1.0,1116180.0,1.0,2,3720.6,3721.0,1,3739.6,3740.0,3750.0,3717.4,48501.0,54347242680.0,53836
19652,2023-09-14 14:03:42,IF2309,IF2309,3720.6,2.0,2232480.0,-2.0,2,3720.4,3721.4,6,3739.6,3740.0,3750.0,3717.4,48503.0,54349475160.0,53834
19653,2023-09-14 14:03:42,IF2309,IF2309,3720.2,3.0,3348300.0,-2.0,6,3720.2,3721.2,4,3739.6,3740.0,3750.0,3717.4,48506.0,54352823460.0,53832
19654,2023-09-14 14:03:43,IF2309,IF2309,3720.2,1.0,1116060.0,1.0,5,3720.2,3720.6,1,3739.6,3740.0,3750.0,3717.4,48507.0,54353939520.0,53833
19655,2023-09-14 14:03:44,IF2309,IF2309,3721.0,2.0,2232480.0,1.0,6,3720.2,3721.2,4,3739.6,3740.0,3750.0,3717.4,48509.0,54356172000.0,53834
19656,2023-09-14 14:03:44,IF2309,IF2309,3720.2,3.0,3348360.0,-1.0,6,3720.2,3721.0,3,3739.6,3740.0,3750.0,3717.4,48512.0,54359520360.0,53833
19657,2023-09-14 14:03:45,IF2309,IF2309,3720.2,0.0,0.0,0.0,1,3720.6,3721.0,3,3739.6,3740.0,3750.0,3717.4,48512.0,54359520360.0,53833
19658,2023-09-14 14:03:45,IF2309,IF2309,3720.6,1.0,1116180.0,0.0,5,3720.2,3721.0,3,3739.6,3740.0,3750.0,3717.4,48513.0,54360636540.0,53833
19659,2023-09-14 14:03:46,IF2309,IF2309,3721.0,2.0,2232360.0,-1.0,3,3720.4,3720.8,1,3739.6,3740.0,3750.0,3717.4,48515.0,54362868900.0,53832
19660,2023-09-14 14:03:46,IF2309,IF2309,3720.2,5.0,5580540.0,-4.0,5,3720.2,3720.8,1,3739.6,3740.0,3750.0,3717.4,48520.0,54368449440.0,53828
19661,2023-09-14 14:03:47,IF2309,IF2309,3720.2,1.0,1116060.0,-1.0,4,3720.2,3720.6,1,3739.6,3740.0,3750.0,3717.4,48521.0,54369565500.0,53827
19662,2023-09-14 14:03:47,IF2309,IF2309,3720.2,0.0,0.0,0.0,4,3720.2,3720.8,1,3739.6,3740.0,3750.0,3717.4,48521.0,54369565500.0,53827
19663,2023-09-14 14:03:48,IF2309,IF2309,3720.6,2.0,2232240.0,-2.0,3,3720.2,3720.8,1,3739.6,3740.0,3750.0,3717.4,48523.0,54371797740.0,53825
19664,2023-09-14 14:03:48,IF2309,IF2309,3720.6,0.0,0.0,0.0,1,3720.4,3720.8,1,3739.6,3740.0,3750.0,3717.4,48523.0,54371797740.0,53825
19665,2023-09-14 14:03:49,IF2309,IF2309,3720.6,0.0,0.0,0.0,1,3720.4,3720.8,3,3739.6,3740.0,3750.0,3717.4,48523.0,54371797740.0,53825
19666,2023-09-14 14:03:50,IF2309,IF2309,3720.6,0.0,0.0,0.0,1,3720.4,3720.6,1,3739.6,3740.0,3750.0,3717.4,48523.0,54371797740.0,53825
19667,2023-09-14 14:03:52,IF2309,IF2309,3720.6,1.0,1116180.0,1.0,1,3720.4,3720.8,3,3739.6,3740.0,3750.0,3717.4,48524.0,54372913920.0,53826
19668,2023-09-14 14:03:53,IF2309,IF2309,3720.8,1.0,1116240.0,-1.0,1,3720.6,3720.8,2,3739.6,3740.0,3750.0,3717.4,48525.0,54374030160.0,53825
19669,2023-09-14 14:03:54,IF2309,IF2309,3720.6,1.0,1116180.0,-1.0,1,3720.4,3720.8,2,3739.6,3740.0,3750.0,3717.4,48526.0,54375146340.0,53824
19670,2023-09-14 14:03:54,IF2309,IF2309,3720.6,3.0,3348660.0,-1.0,1,3720.4,3721.2,3,3739.6,3740.0,3750.0,3717.4,48529.0,54378495000.0,53823
19671,2023-09-14 14:03:55,IF2309,IF2309,3721.2,4.0,4464600.0,-1.0,2,3720.2,3721.2,2,3739.6,3740.0,3750.0,3717.4,48533.0,54382959600.0,53822
19672,2023-09-14 14:03:55,IF2309,IF2309,3721.0,2.0,2232480.0,0.0,13,3720.4,3721.0,1,3739.6,3740.0,3750.0,3717.4,48535.0,54385192080.0,53822
19673,2023-09-14 14:03:56,IF2309,IF2309,3721.0,2.0,2232600.0,1.0,12,3720.4,3720.6,4,3739.6,3740.0,3750.0,3717.4,48537.0,54387424680.0,53823
19674,2023-09-14 14:03:56,IF2309,IF2309,3720.6,4.0,4464720.0,0.0,1,3720.8,3721.0,3,3739.6,3740.0,3750.0,3717.4,48541.0,54391889400.0,53823
19675,2023-09-14 14:03:57,IF2309,IF2309,3720.8,3.0,3348780.0,-1.0,4,3720.6,3720.8,2,3739.6,3740.0,3750.0,3717.4,48544.0,54395238180.0,53822
19676,2023-09-14 14:03:57,IF2309,IF2309,3720.6,6.0,6697200.0,-4.0,3,3720.8,3721.0,2,3739.6,3740.0,3750.0,3717.4,48550.0,54401935380.0,53818
19677,2023-09-14 14:03:58,IF2309,IF2309,3720.6,0.0,0.0,0.0,4,3720.8,3721.0,2,3739.6,3740.0,3750.0,3717.4,48550.0,54401935380.0,53818
19678,2023-09-14 14:03:58,IF2309,IF2309,3720.8,1.0,1116240.0,-1.0,3,3720.8,3721.0,2,3739.6,3740.0,3750.0,3717.4,48551.0,54403051620.0,53817
19679,2023-09-14 14:03:59,IF2309,IF2309,3720.8,0.0,0.0,0.0,2,3720.8,3721.0,2,3739.6,3740.0,3750.0,3717.4,48551.0,54403051620.0,53817
19680,2023-09-14 14:04:00,IF2309,IF2309,3721.0,1.0,1116300.0,0.0,2,3720.8,3721.0,1,3739.6,3740.0,3750.0,3717.4,48552.0,54404167920.0,53817
19681,2023-09-14 14:04:00,IF2309,IF2309,3721.0,1.0,1116300.0,0.0,2,3720.8,3721.2,1,3739.6,3740.0,3750.0,3717.4,48553.0,54405284220.0,53817
19682,2023-09-14 14:04:01,IF2309,IF2309,3720.8,1.0,1116240.0,-1.0,1,3720.8,3721.2,1,3739.6,3740.0,3750.0,3717.4,48554.0,54406400460.0,53816
19683,2023-09-14 14:04:02,IF2309,IF2309,3720.8,0.0,0.0,0.0,1,3720.8,3721.0,4,3739.6,3740.0,3750.0,3717.4,48554.0,54406400460.0,53816
19684,2023-09-14 14:04:02,IF2309,IF2309,3720.8,1.0,1116240.0,0.0,4,3720.6,3720.8,4,3739.6,3740.0,3750.0,3717.4,48555.0,54407516700.0,53816
19685,2023-09-14 14:04:03,IF2309,IF2309,3720.8,2.0,2232480.0,-2.0,4,3720.6,3720.8,2,3739.6,3740.0,3750.0,3717.4,48557.0,54409749180.0,53814
19686,2023-09-14 14:04:03,IF2309,IF2309,3720.6,2.0,2232360.0,0.0,2,3720.6,3720.8,2,3739.6,3740.0,3750.0,3717.4,48559.0,54411981540.0,53814
19687,2023-09-14 14:04:04,IF2309,IF2309,3720.8,3.0,3348600.0,2.0,3,3720.4,3720.8,1,3739.6,3740.0,3750.0,3717.4,48562.0,54415330140.0,53816
19688,2023-09-14 14:04:06,IF2309,IF2309,3720.8,0.0,0.0,0.0,3,3720.4,3720.8,2,3739.6,3740.0,3750.0,3717.4,48562.0,54415330140.0,53816
19689,2023-09-14 14:04:06,IF2309,IF2309,3720.8,0.0,0.0,0.0,3,3720.4,3720.8,3,3739.6,3740.0,3750.0,3717.4,48562.0,54415330140.0,53816
19690,2023-09-14 14:04:07,IF2309,IF2309,3720.8,0.0,0.0,0.0,3,3720.4,3720.8,4,3739.6,3740.0,3750.0,3717.4,48562.0,54415330140.0,53816
19691,2023-09-14 14:04:08,IF2309,IF2309,3720.8,1.0,1116240.0,0.0,3,3720.4,3720.8,3,3739.6,3740.0,3750.0,3717.4,48563.0,54416446380.0,53816
19692,2023-09-14 14:04:08,IF2309,IF2309,3720.4,1.0,1116120.0,1.0,2,3720.4,3720.8,3,3739.6,3740.0,3750.0,3717.4,48564.0,54417562500.0,53817
19693,2023-09-14 14:04:09,IF2309,IF2309,3720.4,0.0,0.0,0.0,2,3720.4,3720.8,4,3739.6,3740.0,3750.0,3717.4,48564.0,54417562500.0,53817
19694,2023-09-14 14:04:10,IF2309,IF2309,3720.4,0.0,0.0,0.0,3,3720.4,3720.8,4,3739.6,3740.0,3750.0,3717.4,48564.0,54417562500.0,53817
19695,2023-09-14 14:04:10,IF2309,IF2309,3720.8,2.0,2232480.0,-2.0,3,3720.4,3720.8,2,3739.6,3740.0,3750.0,3717.4,48566.0,54419794980.0,53815
19696,2023-09-14 14:04:11,IF2309,IF2309,3720.8,2.0,2232360.0,0.0,2,3720.4,3720.6,1,3739.6,3740.0,3750.0,3717.4,48568.0,54422027340.0,53815
19697,2023-09-14 14:04:12,IF2309,IF2309,3720.6,1.0,1116180.0,1.0,1,3720.6,3720.8,2,3739.6,3740.0,3750.0,3717.4,48569.0,54423143520.0,53816
19698,2023-09-14 14:04:12,IF2309,IF2309,3720.6,1.0,1116180.0,-1.0,2,3720.4,3720.8,4,3739.6,3740.0,3750.0,3717.4,48570.0,54424259700.0,53815
